id	text	lang	favorite_count	retweet_count	username	userlocation	source	userstatuses_count	userfollowers_count	userfriends_count	created_at
451949237383598081	Y on gods green earth am I out of all people your number one snspchat bestfriend😳	en	0	0	Marisa Jane Graves	St.Charles, MO	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	14182	371	70	Fri Apr 04 05:07:49 +0000 2014
451949237408759809	【緩募】キャラクロの4/17:B(13:20～)2名枠が当たったんですがタイバニ好きで時間空いてる方いらっしゃいませんか！早朝から昼まで仕事だから応募してみたら当たったんだけど皆仕事だよね..._(┐「ε:)_	ja	0	0	那加＊マスシャルください		"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	77734	812	474	Fri Apr 04 05:07:49 +0000 2014
451949237400383488	@B1ackJesus01 how high?	en	0	0	nessss	cali	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	8802	329	195	Fri Apr 04 05:07:49 +0000 2014
451949237375221760	"【bot】艦これ、NOeSIS好きな人RT
#拡散希望"	ja	0	0	はる		"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>"	4260	3243	3519	Fri Apr 04 05:07:49 +0000 2014
451949237383614465	Grayson's been up to some Black and White 2. Check it out! http://t.co/9tlB1M44Fc	en	0	0	RejectedShotgun	Las Vegas, Nevada, USA	web	269	952	43	Fri Apr 04 05:07:49 +0000 2014
451949237387816960	Urusin dulu mantan yang ada dihati kamu, kalo udah bersih. Baru boleh sayang sama aku. :)	in	0	0	Aurel lorenza		web	272	174	805	Fri Apr 04 05:07:49 +0000 2014
451949237391990784	二代目火影の奴なかなかやるじゃねぇかよ！オイ！	ja	0	0	二代目水影		"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>"	27042	53	17	Fri Apr 04 05:07:49 +0000 2014
451949237387788288	使えずに埃かぶってるよかいいんでない？	ja	0	0	ヒメ介@3月の気分屋	ｺﾀﾄｩ	"<a href=""https://twitter.com/TheWorld_JP"" rel=""nofollow"">TheWorld for iOS</a>"	92747	393	348	Fri Apr 04 05:07:49 +0000 2014
451949237391998976	@willsfashiontag excited #WillsFashionTag	en	0	0	Vaibhav Dahima	In mY hOmE!!	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>"	8259	2349	66	Fri Apr 04 05:07:49 +0000 2014
451949237400371200	デッドリフトはいい種目だよな。大好きだ！	ja	0	0	トレーニング好きの妹bot		"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>"	7649	427	539	Fri Apr 04 05:07:49 +0000 2014
451949237408788481	"RT @jidori_kawaii: 斉藤結衣ちゃん
( ) http://t.co/m8fLPRRdEB"	ja	0	0	世界から届く素敵な６秒動画		"<a href=""http://www.yahoo.co.jp/"" rel=""nofollow"">ななくろクローバー</a>"	10103	341	225	Fri Apr 04 05:07:49 +0000 2014
451949237404581888	Only 9 days to go until our 13th April Discovery Bay Sunday market.  You can see the vendor map here: http://t.co/AudtWdb5oO	en	0	0	Handmade Hong Kong	Hong Kong	web	267	431	390	Fri Apr 04 05:07:49 +0000 2014
451949237391998977	び、ょいん、行きます…	ja	0	0	月闇@雨珠	ツイプロ必読	"<a href=""http://janetter.net/"" rel=""nofollow"">Janetter for Android</a>"	32823	243	272	Fri Apr 04 05:07:49 +0000 2014
451949237375627264	@niki_miro приступ эпилепсии,бедный:(	ru	0	0	Sonya.		"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>"	396	10	12	Fri Apr 04 05:07:49 +0000 2014
451949237387808768	"RT @sabutou_kawaii_: #ポタクラフォロワーがRTしてくれてまだ見ぬポタクラさんと繋がれるって期待してる
rt優先でふぁぼ巡回しまーす‼︎
誰か来てくださることを期待しています！親世代愛しています！ http://t.co/zEFbluzhw5"	ja	0	0	課題除去係	神戸	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	5202	86	72	Fri Apr 04 05:07:49 +0000 2014
451949237371015168	United Rencana Comot Duo Lallana &amp; Shaw: Manchester United dilaporkan tengah menyusun proposal untuk mendatang... http://t.co/6YYNcUWQ51	in	0	0	★Ďίόή︻╦̿̿╤─άĻғάŕίžί★	♥Palembang,Indonesia★	"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>"	31228	8004	11	Fri Apr 04 05:07:49 +0000 2014
451949237371015169	@bdnamja haha oke Ge	tl	0	0	KryStaL Jung	#ArmyJesusfams #BATMANSQ	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	2921	321	350	Fri Apr 04 05:07:49 +0000 2014
451949237383614464	Let's get our fairy tale on	en	0	0	Nat ♥		"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	12603	1366	1305	Fri Apr 04 05:07:49 +0000 2014
451949237371420672	You fuck her wrong and I fuck her long 😈	en	0	0	El Tigre		"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	33408	1190	894	Fri Apr 04 05:07:49 +0000 2014
451949237396189184	RT @palmmie_ss: #StayStrongSNSD  ฝากถึงโซวอนนะไม่ได้อยากดราม่าแต่เห็นบางทวีตจะไม่ทนน 5555 #StayStrongHyoyeon # http://t.co/v9c0e2QlGi	th	0	0	mint kris		"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	1715	23	347	Fri Apr 04 05:07:49 +0000 2014
451949237396180992	RT @LeyAdolescente: Si tú estás feliz, yo estoy feliz, si tú estás triste, yo te haré feliz.	es	0	0	Miguel Texis		"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	1228	40	226	Fri Apr 04 05:07:49 +0000 2014
451949237379805184	I posted a new photo to Facebook http://t.co/rvOGwdiAIk	en	0	0	Khrissel Anne		"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>"	168	7	47	Fri Apr 04 05:07:49 +0000 2014
451949237383598080	RT @SoStonedTho: Respect me. I respect you. Disrespect me, fuck you.	en	0	0	Jefferson Lopez	Euless, TX	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	3167	112	136	Fri Apr 04 05:07:49 +0000 2014
451949237388214272	“@IGoBy_Tob: @jvd__ what you mean tho 😂” cause you were meat too	en	0	0	joanei' victoria ❤️		"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	36385	1260	1225	Fri Apr 04 05:07:49 +0000 2014
451949237396185088	@qum0n เย็นแล้วคุมนT _ T	th	0	0	รักเตฟ	♥♥♥♥♥♥♥♥♥♥♥♥♥♥	web	65282	43	204	Fri Apr 04 05:07:49 +0000 2014
451949237383618560	@KanaAk05 左下のプリクラ”は”非常にかわいいよ。誕生日おめでとう‼︎はやいね！	ja	0	0	だいき	牧南→FPU経済学科1年 フットサル	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	4125	172	159	Fri Apr 04 05:07:49 +0000 2014
451949237396197376	RT @gooodzilla: ｲﾀﾀﾞｷﾏｰｽ♪人(￣￢￣*) RT @www_impact これぞまさに軍艦巻き http://t.co/6YdfuxzO1L	ja	0	0	いくさかさん	東京都千代田区	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	47	18	19	Fri Apr 04 05:07:49 +0000 2014
451949237396594688	All I Know Is Gunplay	en	0	0	☞⚡️KING_ROCKYY⚡☜		"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	37431	990	890	Fri Apr 04 05:07:49 +0000 2014
451949237408759808	RT @Myfanb2st: [!] ซิงเกิ้ลที่จะปล่อยอีกเพลงในวันที่ 28 พฤษภาคมคือเพลง 'B.I.B' ย่อมาจาก B2ST is BACK (Cr.KongKongXD via._yoseopu)	th	0	0	หญิงน้อยของคุณยง		web	13592	255	1231	Fri Apr 04 05:07:49 +0000 2014
451949237383991296	@christnovvp emang ada parti yang namanya nasem?	tl	0	0	Seek - car.	Ind.	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>"	44352	1065	384	Fri Apr 04 05:07:49 +0000 2014
451949237388197888	RT @twerkin4nouis: what if you were a pizza deliverer and you deliver to pizza to a house and they open the door and its fucking beyonce	en	0	0	Hana ❀	La Isla Esme del Distrito 4	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	28178	440	739	Fri Apr 04 05:07:49 +0000 2014
451949237400797184	Kashmir Baby Girl in Kashmiri Dress http://t.co/hD6ZRYO2vy	sl	0	0	Tania Hassan	Lahore	"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>"	9907	7	21	Fri Apr 04 05:07:49 +0000 2014
451949237384011776	RT @_callherking: I like my man to have a little hood in him  just a little.	en	0	0	dec24 	NoWhere . 	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	26592	958	907	Fri Apr 04 05:07:49 +0000 2014
451949237404991488	RT @iauraB: Le quito el celular, nada pendeja pues si era un iPhone 5s. Mañana lo va a ir a vender al metro.	es	0	0	alejandro	colombia 	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	10930	814	652	Fri Apr 04 05:07:49 +0000 2014
451949237375209472	RT @bioncani: โถ่ว คุณพิสุทธิ์ของเจ้ย 555555555555555555555555555555555555555555555555555555555 #มหกรรมละครเปลี่ยนผู้ชายก็เปลี่ยน http://t.…	th	0	0	mintaw		web	66020	464	139	Fri Apr 04 05:07:49 +0000 2014
451949237379809280	"Fai di te stesso un brand con il #PersonalBranding e reputazione online. 
Scarica le prime 33 pagine -&gt; http://t.co/TWeYTmc6Ql via @skande"	it	0	0	Filippo Sanna	Olbia	"<a href=""http://www.skande.com/"" rel=""nofollow"">skande blog</a>"	388	116	339	Fri Apr 04 05:07:49 +0000 2014
451949237400788992	@TheTalkingCan Cap 3, no question.	es	0	0	Maxwell Haddad	NYC	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	40476	638	1231	Fri Apr 04 05:07:49 +0000 2014
451949237408788480	RT @diantfanny: Iin cantik bgt yaahhh ;;) @iinhermawatii ngiridehhh:((	in	0	0	Iin hermawati	http://ask.fm/iinhermawati	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	27125	674	464	Fri Apr 04 05:07:49 +0000 2014
451949237375229952	@PlsDontBeACunt bc I am catfish	en	0	0	ugly asian	vegas ☮	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	26904	841	370	Fri Apr 04 05:07:49 +0000 2014
451949237404962816	@danbucatinsky @erenbowers Your character went from loving and adorable to indecisive and broken. Why Mr. Bucatinsky?  Why? Def. Emmy 4 u.	en	0	0	KILOMAR X		web	14	475	1543	Fri Apr 04 05:07:49 +0000 2014
451949237396570112	when the morning fails to focus 🙉 @ Ruang 201 Fakultas Ekonomi dan Bisnis http://t.co/sF0Nbr6XKS	en	0	0	Alvi Diyaning Putri	 @ochachecho ♡ {}	"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"	8156	412	437	Fri Apr 04 05:07:49 +0000 2014
451949237404983296	Органам опеки грозит уголовное наказание за незаконное изъятие детей http://t.co/nV2mNCVHoN	ru	0	0	игорь ликанов	тверь	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	4549	212	267	Fri Apr 04 05:07:49 +0000 2014
451949237392392192	I've collected 261,158 gold coins! http://t.co/oDzcDIqtEJ #android, #androidgames, #gameinsight	en	0	0	Sjaak Meijer		"<a href=""http://bit.ly/tribez_itw"" rel=""nofollow"">The Tribez for Android</a>"	20306	0	2	Fri Apr 04 05:07:49 +0000 2014
451949237391990785	#ksa بالصور | الوفاق تفبرك وأهالي المحترق حسين شرف يؤكدون: بالصور | الوفاق تفبرك وأهالي المحترق ... http://t.co/mYoxzZm3ow #الرياض	ar	0	0	الواقع مرارة	Crow Agency, MT, USA	"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>"	6309	31	42	Fri Apr 04 05:07:49 +0000 2014
451949237387796480	@tsukitsuki_nyaa な、なんか恥ずかしい… http://t.co/LFQN0Ge75o	ja	0	0	潮留 美海	This account is unofficial	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	2225	177	106	Fri Apr 04 05:07:49 +0000 2014
451949237388210176	"""@iamtyy_: it seem like the mo love you show a nigga, when it fall off you be like ""damn, did i know this nigga?"""" right right 👏"	en	0	0	Lakevia . ♡	BLESSED	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	37733	1074	711	Fri Apr 04 05:07:49 +0000 2014
451949237396205568	RT @Esnicotina: Pronuncié tantos te quiero para construir un te amo.	es	0	0	Un León.		web	614	57	41	Fri Apr 04 05:07:49 +0000 2014
451949237396574208	RT @EriickPriince: @opsmy4 KKKKKKKK' Tatuagem em vc só de chiclete msmo.. vc n pode entrar no estúdio, vão falar q vc tem 10 anos !	pt	0	0	 My Oliveira.	   RJ- Vila Isabel 	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	16998	411	345	Fri Apr 04 05:07:49 +0000 2014
451949237404987392	#zoologico El Níspero #panama con los #nonnitos #ranas #naturaleza http://t.co/KUP8ShewLY	es	0	0	Mayra Velazquez	Panamá	"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>"	212	410	31	Fri Apr 04 05:07:49 +0000 2014
451949237400784896	RT @AllRiseSilver: 와 http://t.co/IyzWJaNsxd	ko	0	0	Hala Al-Janabi	Denmark	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	9718	36	35	Fri Apr 04 05:07:49 +0000 2014
451949237400793088	Niggas always tryna knock a nigga down	en	0	0	T.H.C	Alcatraz,SC 	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	45779	359	150	Fri Apr 04 05:07:49 +0000 2014
451949237379801088	Esse MAURÍCIO KAVALEC nosssinhora *--*	pt	0	0	Anna  		web	33106	2090	1866	Fri Apr 04 05:07:49 +0000 2014
451949237396574209	@DespiertaVnzl4 @ResistenciaMbo @Resistencia_Anz @RETachira FUERZA, VALENTIA Y APOYO DE OTROS ESTADOS es lo que todos aquí necesitamos,	es	0	0	jefferson yanez	venezuela	web	1424	59	218	Fri Apr 04 05:07:49 +0000 2014
451949237400780800	@RobyMasetti buongiorno	it	0	0	what else?		"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	12836	1041	1112	Fri Apr 04 05:07:49 +0000 2014
451949241586307072	Para vo' pescadaaaa	pt	0	0	♛ P $ L  ♛ ♪		"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>"	24626	553	524	Fri Apr 04 05:07:50 +0000 2014
451949241565331457	@kenzielainee who	und	0	0	Shan Sahota		"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	7613	199	157	Fri Apr 04 05:07:50 +0000 2014
451949241565335552	クックックッ...黒マテリア	ja	0	0	イデbotヒロシ	ソロ星	"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>"	5791	18	38	Fri Apr 04 05:07:50 +0000 2014
451949241582104576	know that I'm a freak &amp; that's fine.	en	0	0	daisha.	Frisco	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	30296	470	411	Fri Apr 04 05:07:50 +0000 2014
451949241590493184	@siichan12345 @rinaaaa0113 @xxx_72mi @a0891111 さっきの晴れはなんだかしんないけどさ、雷と雨がやばい（笑）	ja	0	0	あゃぴか@Rc.fam	栃木県	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	9238	331	296	Fri Apr 04 05:07:50 +0000 2014
451949241569529856	Today stats: 2 followers, No unfollowers via http://t.co/la8VZAngpq	en	0	0	Damiannღ	Vєяsαιℓℓєѕ & Sαи Lσrєиzσღ	"<a href=""http://unfollowers.com"" rel=""nofollow"">Unfollowers.me</a>"	15368	1161	956	Fri Apr 04 05:07:50 +0000 2014
451949241590480899	RT @yuyyacst: Lo que los ojos no ven, la mente se lo imagina 3 veces peor.	es	0	0	Mariana Espíndola		"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	17343	494	1007	Fri Apr 04 05:07:50 +0000 2014
451949241569513472	クズすぎてやばいな	ja	0	0	ホテルぐらしの桜ッティーノ	池田湖	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	8255	91	99	Fri Apr 04 05:07:50 +0000 2014
451949241569525761	@luffy0505_d ウソップ「おう！イイぞ！」(*^^*)	ja	0	0	〆ラ☆キ〆	静岡県富士市	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	40818	206	185	Fri Apr 04 05:07:50 +0000 2014
451949241603092480	アイドルマスター 2 【完全生産限定版】 [Blu-ray] (2011) 出演 中村繪里子、... 8180円 中古3299円 評価 5 アイドルマスター ２巻 2013/4/13の匿名レビュー評価 5.0 http://t.co/UjW0CVg0VG	ja	0	0	松澤結衣		"<a href=""http://weekend-holiday.net/"" rel=""nofollow"">weekend tweet</a>"	6316	66	169	Fri Apr 04 05:07:50 +0000 2014
451949241569525760	호구든 드림이든 원작이든 그냥 봇이든, bot을 달고 있다면 모두 나에게 기대요.	ko	0	0	위로쟁이		"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>"	3673	58	64	Fri Apr 04 05:07:50 +0000 2014
451949241577906176	RT @RealTalkFriend: Dami mong alam, bat di ka pa mamatay?	tl	0	0	KIMATE-FALETINE♡	MNL	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	7603	231	44	Fri Apr 04 05:07:50 +0000 2014
451949241590509569	RT @sakuramodki: 全ての入稿手続きが完了しました！協力してくれた方々本当にありがとうございました！無事リリースできそうです！ Sakura Recordz! - Synergy Style Vol.2 http://t.co/sA18jInXZx via @sa…	ja	0	0	爆破みかん@M3-C05b パラスト	サークルHP	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	8836	237	356	Fri Apr 04 05:07:50 +0000 2014
451949241594703872	RT @knowncliquezx: I could be your bestfriend &amp; you be my homie.	en	0	0	nawh brah		"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	5095	274	428	Fri Apr 04 05:07:50 +0000 2014
451949241590480897	"ツタンカーメンあるある
http://t.co/Lc01XPdEUi
大して詳しくもねえくせによおｗｗｗｗｗ"	ja	0	0	喉仏第一部隊オヌヌメ動画bot	イワケテン	"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>"	11018	52	0	Fri Apr 04 05:07:50 +0000 2014
451949241582116864	そのうちⅡ以降買わなきゃね･･･	ja	0	0	くだやorかんや	ミッドガル八番街	"<a href=""http://janetter.net/"" rel=""nofollow"">Janetter</a>"	78647	146	146	Fri Apr 04 05:07:50 +0000 2014
451949241582092288	"RT @toldo13: モンスター新人社員の6箇条がすごいと話題に｜| ＾＾ |秒刊SUNDAY http://t.co/ZuM3VO2sLB そういや昔，好きだった先輩から二人で飲みに行こうって言われて断ったな。

ジャンプ読みたかったから。"	ja	0	0	ナデガタCEO	チャンピオンが木曜日に発売される地域	web	32050	518	406	Fri Apr 04 05:07:50 +0000 2014
451949241569509376	@smo_1025 (´；ω；`)ぶわっ	ja	0	0	まるはち	レッドフォース号副船長屋	"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"	60343	684	460	Fri Apr 04 05:07:50 +0000 2014
451949241582120960	"سبحان ٱللّـھ و بحمده سبحان ٱللّـھ العظيم 
 http://t.co/0ftOCI3kad"	ar	0	0	saleh		"<a href=""http://knz.so"" rel=""nofollow"">كنز المسلم</a>"	10470	329	1392	Fri Apr 04 05:07:50 +0000 2014
451949241603092481	I'm a 50 year old man - I won't accept as gospel anything delivered to me in such a manner as if I were a small child.	en	0	0	Paul Pié	London, UK	web	61178	2246	2450	Fri Apr 04 05:07:50 +0000 2014
451949241569529857	@yutaka013135 わかいね(๑⁍᷄౪⁍᷅๑) それより画像の股間押し付けてるのが気になる（笑）	ja	0	0	こんちく	名古屋じゃない愛知	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	82421	1125	636	Fri Apr 04 05:07:50 +0000 2014
451949241573707776	"RT @h1chaaan: 先日行われた、
読売テレビ新番組【俺の地図帳】の
制作発表の写真公開っ！ http://t.co/em9tJsNTfl"	ja	0	0	トトト( ˙ ◡ ˙ )	剣崎一真と草加雅人と礼堂ヒカルと	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	30088	225	301	Fri Apr 04 05:07:50 +0000 2014
451949241565323264	@strt5150 I saw the pic earlier. I know who that is	en	0	0	Alex 	Chicago,IL	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	64649	831	1371	Fri Apr 04 05:07:50 +0000 2014
451949241594683392	I just get sad at times cos my friends never seem to really care if im there or not &amp; im always left out of everything	en	0	0	Daphne Wylde. 	deep south	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	5612	330	209	Fri Apr 04 05:07:50 +0000 2014
451949241586704384	新しい写真をFacebookに投稿しました http://t.co/wBZISKi1eF	ja	0	0	プレア鈴木です！	千葉県船橋市南本町	"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>"	2262	120	242	Fri Apr 04 05:07:50 +0000 2014
451949241603084288	RT @RachelShadoan: I like to spend my finite mental resources doing science, not endlessly restricting and counting calories #notyourgoodfa…	en	0	0	Ravan Asteris	The Net	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	37163	362	329	Fri Apr 04 05:07:50 +0000 2014
451949241603076096	RT @KARANDOPE: Stay strong ... weekend's cominnn http://t.co/8KsqRMTQdR	en	0	0	Tyler Selden	Omaha Nebraska	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	743	920	1237	Fri Apr 04 05:07:50 +0000 2014
451949241590484992	RT @konnerdemattio: Trying your absolute hardest to achieve something and still failing is probably the worst thing in life, hands down.	en	0	0	Amanda Demattio		"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	7414	839	898	Fri Apr 04 05:07:50 +0000 2014
451949241578323968	@wouh QUÉ? NO NO NO YO NO HE DICHO ESO BB AY SHORO	es	0	0		❀ ale cat eli mike ❀	web	48533	4503	1522	Fri Apr 04 05:07:50 +0000 2014
451949241594687488	@dkcord22 ごーやどした	ja	0	0	かりん		"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	1714	163	212	Fri Apr 04 05:07:50 +0000 2014
451949241594687489	@null 14時7分 C	ja	0	0	inibutaburan	Japan Minecraft PvP (JPMCPvP)	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	139280	5	2	Fri Apr 04 05:07:50 +0000 2014
451949241565331456	RT @calvinisaG: Tyler's newest Instagram video 😂😂😂😂😂😂😂😂😂	en	0	0	Jack		"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	2883	307	159	Fri Apr 04 05:07:50 +0000 2014
451949241586679808	Tochter hatte gestern Abend Fieber. Wie gut dass heute sowieso Schließtag ist im Kiga.	de	0	0	Queequeg	Freital	"<a href=""http://www.myplume.com/"" rel=""nofollow"">Plume for Android</a>"	6326	104	201	Fri Apr 04 05:07:50 +0000 2014
451949241598898176	RT @syidameoww: Salam jumaat.	in	0	0	✪fy∂αυz✪		web	1923	320	326	Fri Apr 04 05:07:50 +0000 2014
451949241590480898	RT @TabascoHOY: #PeloteroAlaBola: Ocho entradas completas @OlmecasTabasco 1, @DelfinesCarmen 7	es	0	0	Wasson80		"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	71	10	60	Fri Apr 04 05:07:50 +0000 2014
451949241599295488	@Hanneliator_8 apps great..	en	0	0	kieran garlick	luton,uk,England	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	35	3	20	Fri Apr 04 05:07:50 +0000 2014
451949241565343744	RT @bluesherbet_: เออจริง นิชคุณ จีดราก้อน อีซึงกิ ผช.เบอร์ต้นๆในวงการไอดอลเกาหลี ไม่ชอบผู้หญิงมีนมซักคน #ขุ่นหมอคะหนูมาตัดนมทิ้ง	th	0	0	ซฮปป.❤️		"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	90776	266	286	Fri Apr 04 05:07:50 +0000 2014
